col1,col2,col3,col4
,,,
Intercept,0.422721898682381,0.274827863574653,0.577463303390501
rater_raceBlackDAfricanAmerican,-0.0788281924322275,-0.207855368426547,0.0578150668980158
rater_raceLatinXLatinoHispanicorSpanishOrigin,-0.073043030949402,-0.215113039438527,0.0646053829277534
rater_raceMultiracial,0.081120233894795,-0.0667055125298289,0.244367145057723
rater_raceWhite,-0.173691681514973,-0.309550204357663,-0.0314227578875529
rater_genderWoman,0.135239054606203,0.0381882934927225,0.227185895876844
rater_agegenz,0.0101668513806547,-0.107682077538104,0.123908643754393
rater_agemillenial,-0.0530705266047788,-0.183250812609179,0.0712992863568081
degree_of_harmDebatable,-0.00624809231057233,-0.127130414790798,0.109790018068326
degree_of_harmExtreme,0.0428225117613217,-0.0449390851678091,0.127192437007455
degree_of_harmModerate,0.0451644846885331,-0.0436547734753499,0.13657959127806
sd_item_id_intercept,0.219717799378455,0.203415789061882,0.238231532315029
sd_conversation_id_intercept,0.250232147867706,0.220299122790921,0.287345860355266
Intercept,0.419910831190482,0.268195206892888,0.576871185179036
rater_raceBlackDAfricanAmerican,-0.0762168335933336,-0.212602964524497,0.0622638011446511
rater_raceLatinXLatinoHispanicorSpanishOrigin,-0.0450800117940441,-0.191942752430252,0.100199046975432
rater_raceMultiracial,0.0931642964729895,-0.0690766885775746,0.250953680129699
rater_raceWhite,-0.145708418760556,-0.285699911932178,0.00318477880481104
rater_genderWoman,0.118685180319827,0.0291410686596587,0.208816136697235
rater_agegenz,-0.00707616713319858,-0.123694947369882,0.106130370167947
rater_agemillenial,-0.0557151676570224,-0.181316949613687,0.0703031337573215
degree_of_harmDebatable,-0.00312802478758603,-0.128636063794956,0.1198318253919
degree_of_harmExtreme,0.0464142055150953,-0.0366064079278865,0.129174109590316
degree_of_harmModerate,0.0500211626743671,-0.0405535636524814,0.143640081656532
sd_item_id_intercept,0.219509641480043,0.204013047182074,0.236730487239175
sd_conversation_id_intercept,0.22852355704708,0.194043157808009,0.265490673951564
sd_conversation_id_intercept,0.0286343552543712,0.00182382869439036,0.0650490362806111
sd_conversation_id_intercept,0.0570560472787706,0.036315012611917,0.0794216672028942
sd_conversation_id_intercept,0.0413738440582986,0.0169080004934255,0.0668157912122654
sd_conversation_id_intercept,0.256222539448265,-0.555381640499877,0.849917063129835
sd_conversation_id_intercept,0.333097100142555,0.0035531917307242,0.670888514082996
sd_conversation_id_intercept,-0.0506678546687383,-0.762959143611753,0.7413965354319
sd_conversation_id_intercept,0.615605045109792,0.191561240237713,0.937113676914761
sd_conversation_id_intercept,0.376621680473303,-0.573203401039104,0.906876104483029
sd_conversation_id_intercept,0.525734988472617,-0.0625462487319829,0.846714654110275
Intercept,0.333314845511817,0.107201845663444,0.549814274796217
rater_raceBlackDAfricanAmerican,-0.0862118064646801,-0.378408467729973,0.21529013874453
rater_raceLatinXLatinoHispanicorSpanishOrigin,0.0648346646390844,-0.238339243486984,0.386243673653396
rater_raceMultiracial,0.265956145277196,-0.0321576880530277,0.56762770195885
rater_raceWhite,0.00152682913141787,-0.312155546441027,0.323583742260706
rater_genderWoman,0.246792440588362,0.0396773895732922,0.449441824674416
rater_agegenz,0.0563011460981548,-0.267465439917245,0.366009322562814
rater_agemillenial,-0.0163617473256416,-0.252043610683197,0.208359482139166
degree_of_harmDebatable,0.0399173441791234,-0.0958924171956729,0.174256784509185
degree_of_harmExtreme,0.0688122861240056,-0.0221101993626511,0.154156948982188
degree_of_harmModerate,0.0781979749644762,-0.021027809146111,0.174538725170122
rater_raceBlackDAfricanAmerican:rater_genderWoman,-0.117027947716543,-0.396213985650568,0.175435970739951
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_genderWoman,-0.285223877555137,-0.566400977709582,0.000499208969912389
rater_raceMultiracial:rater_genderWoman,-0.252787307312269,-0.597367488836944,0.104273221759792
rater_raceWhite:rater_genderWoman,-0.0531368404873989,-0.336618060266288,0.232740904785686
rater_raceBlackDAfricanAmerican:rater_agegenz,0.0858668911751636,-0.324804291944136,0.504516040400746
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_agegenz,0.0226319434208629,-0.379311643838673,0.428404476024413
rater_raceMultiracial:rater_agegenz,-0.122560502846897,-0.550012321106259,0.310320551506058
rater_raceWhite:rater_agegenz,-0.191653171293718,-0.588985399662217,0.212961132820185
rater_raceBlackDAfricanAmerican:rater_agemillenial,0.0194209456185798,-0.381155548837492,0.399355405528227
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_agemillenial,0.0992279478861088,-0.268584161746126,0.448428128204744
rater_raceMultiracial:rater_agemillenial,-0.151681488592374,-0.529110767341938,0.228827159871829
rater_raceWhite:rater_agemillenial,-0.146576165615175,-0.538244567929784,0.245764438747538
rater_raceBlackDAfricanAmerican:degree_of_harmDebatable,-0.041133503999166,-0.114115723328041,0.0346632397214968
rater_raceLatinXLatinoHispanicorSpanishOrigin:degree_of_harmDebatable,-0.100934355879769,-0.181424550663539,-0.0208328559217493
rater_raceMultiracial:degree_of_harmDebatable,-0.035517277350642,-0.120573682736016,0.0545070185137147
rater_raceWhite:degree_of_harmDebatable,-0.0752457166382529,-0.148792166734607,-0.00171192442527259
rater_raceBlackDAfricanAmerican:degree_of_harmExtreme,-0.0266908919486238,-0.0772094537525195,0.0244537503770935
rater_raceLatinXLatinoHispanicorSpanishOrigin:degree_of_harmExtreme,-0.0467207299713244,-0.101262181470958,0.00819151841627686
rater_raceMultiracial:degree_of_harmExtreme,-0.0348787148990286,-0.0954994811315916,0.0280402146458519
