col1,col2,col3,col4
Intercept,0.45018509362935233,0.3981154529050485,0.4985878353759818
sd_item_id_intercept,0.2197681308376815,0.20418372241032254,0.23670251437017764
sd_conversation_id_intercept,0.25877760930408394,0.22913592838851088,0.29415541491416003
Intercept,0.4694819561801733,0.33473632227095734,0.6091588864011239
rater_raceBlackDAfricanAmerican,-0.08986417109046106,-0.23741073877499802,0.07359132110605082
rater_raceLatinXLatinoHispanicorSpanishOrigin,-0.07969478470830321,-0.22695257284961512,0.0668369638167328
rater_raceMultiracial,0.0752948237813571,-0.08883954875638678,0.24253773230481604
rater_raceWhite,-0.18010973334365402,-0.3314977034174619,-0.02362205609950051
rater_genderWoman,0.13194526570534604,0.03575517902797616,0.22540392291760894
rater_agegenz,0.009937917668175512,-0.10514779858765468,0.12513349124660628
rater_agemillenial,-0.058489520964699435,-0.1780752665462257,0.06492271722138304
sd_item_id_intercept,0.21965778270169287,0.20338162177371746,0.23768019608576726
sd_conversation_id_intercept,0.251188434573692,0.21988020451596368,0.2864771929634179
Intercept,0.3940550014949488,0.1727671781920475,0.6036564872060168
rater_raceBlackDAfricanAmerican,-0.10512690443354784,-0.40509332345596183,0.20040109054626945
rater_raceLatinXLatinoHispanicorSpanishOrigin,0.01990729309761833,-0.29363425717548736,0.34057904747354845
rater_raceMultiracial,0.24149902636919354,-0.07894077696024021,0.5641661115927655
rater_raceWhite,-0.032589854601258475,-0.35657923197232844,0.2909424625449313
rater_genderWoman,0.2599866988337406,0.05787342275611975,0.46475140353276956
rater_agegenz,0.0518784335892233,-0.2605581606323086,0.36713206873397763
rater_agemillenial,-0.027972989284643427,-0.25195573734912846,0.20996604099440938
rater_raceBlackDAfricanAmerican:rater_genderWoman,-0.13294422065568295,-0.43504566412394874,0.16245402391711988
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_genderWoman,-0.3013148835724234,-0.592432253405226,-0.012570799205508375
rater_raceMultiracial:rater_genderWoman,-0.26830740402616654,-0.6351841717353378,0.08905421496802009
rater_raceWhite:rater_genderWoman,-0.06804890483740636,-0.3565142327768117,0.20872634343235727
rater_raceBlackDAfricanAmerican:rater_agegenz,0.0866277548237658,-0.3125525714579827,0.48590456062189324
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_agegenz,0.019236325117367663,-0.40499860652425884,0.441098683456366
rater_raceMultiracial:rater_agegenz,-0.12153910017419604,-0.5428078816483064,0.31358253096386685
rater_raceWhite:rater_agegenz,-0.18831822012653615,-0.5757287090102406,0.19863732962150177
rater_raceBlackDAfricanAmerican:rater_agemillenial,0.03278114163620416,-0.3688776977797209,0.41621052580030754
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_agemillenial,0.11105810204753347,-0.2594922065151756,0.4766746936932277
rater_raceMultiracial:rater_agemillenial,-0.14808238043887523,-0.5477948922863076,0.2419289527074639
rater_raceWhite:rater_agemillenial,-0.13496702781461006,-0.5490840961447041,0.26606178779309475
sd_item_id_intercept,0.21937082842247466,0.20274897766908484,0.23607403389195206
sd_conversation_id_intercept,0.253489802808129,0.2214260627097676,0.291454305126039
